strain,time (s)
2.6772786773290822e-20,-2.9863967877499995
2.5992867729865564e-20,-2.9859085064999995
2.5179884116172655e-20,-2.9854202252499995
2.4334858599736015e-20,-2.9849319439999995
2.3458854864938123e-20,-2.9844436627499995
2.2552976283739485e-20,-2.9839553814999995
2.161836453523587e-20,-2.9834671002499995
2.065619817579134e-20,-2.9829788189999995
1.966769116150275e-20,-2.9824905377499995
1.8654091324857177e-20,-2.9820022564999995
1.7616678807469147e-20,-2.9815139752499995
1.655676445085686e-20,-2.9810256939999995
1.5475688147280505e-20,-2.9805374127499995
1.4374817152687948e-20,-2.9800491314999995
1.3255544363908596e-20,-2.9795608502499995
1.2119286562230399e-20,-2.9790725689999995
1.0967482625589532e-20,-2.9785842877499995
9.801591711601067e-21,-2.9780960064999995
8.623091413739611e-21,-2.9776077252499995
7.433475892969235e-21,-2.9771194439999995
6.2342539872003675e-21,-2.9766311627499995
5.026947300944333e-21,-2.9761428814999995
3.813088277592428e-21,-2.9756546002499995
2.5942182567416175e-21,-2.9751663189999995
1.3718855190444276e-21,-2.9746780377499995
1.4764332104594828e-22,-2.9741897564999995
-1.0769520775005875e-21,-2.9737014752499995
-2.300343391322656e-21,-2.9732131939999995
-3.5209742898270604e-21,-2.9727249127499995
-4.7372913772785855e-21,-2.9722366314999995
-5.947746170448795e-21,-2.9717483502499995
-7.150797071206264e-21,-2.9712600689999995
-8.344911331549976e-21,-2.9707717877499995
-9.528567008559917e-21,-2.9702835064999995
-1.0700254906789985e-20,-2.9697952252499995
-1.1858480505601187e-20,-2.9693069439999995
-1.3001765868993565e-20,-2.9688186627499995
-1.4128651535466962e-20,-2.9683303814999995
-1.5237698385510546e-20,-2.9678421002499995
-1.632748948431945e-20,-2.9673538189999995
-1.7396631897365348e-20,-2.9668655377499995
-1.8443758476506515e-20,-2.9663772564999995
-1.9467529614318097e-20,-2.9658889752499995
-2.046663496440946e-20,-2.9654006939999995
-2.1439795125485795e-20,-2.9649124127499995
-2.2385763287005774e-20,-2.9644241314999995
-2.3303326834288738e-20,-2.9639358502499995
-2.4191308911014777e-20,-2.9634475689999995
-2.5048569937077014e-20,-2.9629592877499995
-2.5874009079836056e-20,-2.9624710064999995
-2.666656567684879e-20,-2.9619827252499995
-2.742522060823759e-20,-2.9614944439999995
-2.814899761690584e-20,-2.9610061627499995
-2.8836964574872404e-20,-2.9605178814999995
-2.948823469408533e-20,-2.9600296002499995
-3.010196768011074e-20,-2.9595413189999995
-3.067737082720215e-20,-2.9590530377499995
-3.121370005329376e-20,-2.9585647564999995
-3.1710260873565246e-20,-2.9580764752499995
-3.216640931128277e-20,-2.9575881939999995
-3.2581552744712084e-20,-2.9570999127499995
-3.295515068897341e-20,-2.9566116314999995
-3.3286715511796106e-20,-2.9561233502499995
-3.357581308220432e-20,-2.9556350689999995
-3.3822063351264465e-20,-2.9551467877499995
-3.4025140864097217e-20,-2.9546585064999995
-3.418477520245215e-20,-2.9541702252499995
-3.4300751357229484e-20,-2.9536819439999995
-3.437291003042064e-20,-2.9531936627499995
-3.4401147866031805e-20,-2.9527053814999995
-3.43854176096425e-20,-2.9522171002499995
-3.4325728196344055e-20,-2.9517288189999995
-3.422214476689326e-20,-2.9512405377499995
-3.4074788612007683e-20,-2.9507522564999995
-3.388383704482331e-20,-2.9502639752499995
-3.364952320162265e-20,-2.9497756939999995
-3.337213577103913e-20,-2.9492874127499995
-3.305201865202962e-20,-2.9487991314999995
-3.268957054100136e-20,-2.9483108502499995
-3.228524444857251e-20,-2.9478225689999995
-3.1839547146527453e-20,-2.9473342877499995
-3.135303854563338e-20,-2.9468460064999995
-3.08263310050517e-20,-2.9463577252499995
-3.02600885741927e-20,-2.9458694439999995
-2.9655026167920464e-20,-2.9453811627499995
-2.901190867612973e-20,-2.9448928814999995
-2.833155000877277e-20,-2.9444046002499995
-2.761481207752732e-20,-2.9439163189999995
-2.6862603715349206e-20,-2.9434280377499995
-2.6075879535260565e-20,-2.9429397564999995
-2.525563872978466e-20,-2.9424514752499995
-2.440292381252132e-20,-2.9419631939999995
-2.3518819303443624e-20,-2.9414749127499995
-2.2604450359542832e-20,-2.9409866314999995
-2.166098135255587e-20,-2.9404983502499995
-2.0689614395543065e-20,-2.9400100689999995
-1.9691587820183935e-20,-2.9395217877499995
-1.8668174606689076e-20,-2.9390335064999995
-1.762068076832873e-20,-2.9385452252499995
-1.6550443692596142e-20,-2.9380569439999995
-1.54588304411196e-20,-2.9375686627499995
-1.4347236010454735e-20,-2.9370803814999995
-1.321708155598721e-20,-2.9365921002499995
-1.206981258116436e-20,-2.9361038189999995
-1.0906897094385027e-20,-2.9356155377499995
-9.729823735871203e-21,-2.9351272564999995
-8.540099876906273e-21,-2.9346389752499995
-7.339249693871786e-21,-2.9341506939999995
-6.128812219514997e-21,-2.9336624127499995
-4.910339373707993e-21,-2.9331741314999995
-3.685393975166996e-21,-2.9326858502499995
-2.4555477403285785e-21,-2.9321975689999995
-1.2223792694141791e-21,-2.9317092877499995
1.2527978229049834e-23,-2.9312210064999995
1.2475877162840142e-21,-2.9307327252499995
2.4812128684787963e-21,-2.9302444439999995
3.7118176078840195e-21,-2.9297561627499995
4.937819395834908e-21,-2.9292678814999995
6.157641017885249e-21,-2.9287796002499995
7.369712614165308e-21,-2.9282913189999995
8.572473701513683e-21,-2.9278030377499995
9.764375184810114e-21,-2.9273147564999995
1.0943881354874349e-20,-2.9268264752499995
1.210947187039114e-20,-2.9263381939999995
1.325964372126383e-20,-2.9258499127499995
1.4392913170890776e-20,-2.9253616314999995
1.5507817674819992e-20,-2.9248733502499995
1.660291777331966e-20,-2.9243850689999995
1.7676798955390854e-20,-2.9238967877499995
1.8728073491823342e-20,-2.9234085064999995
1.9755382234885018e-20,-2.9229202252499995
2.075739638233016e-20,-2.9224319439999995
2.1732819203415514e-20,-2.9219436627499995
2.2680387724667496e-20,-2.9214553814999995
2.3598874373222545e-20,-2.9209671002499995
2.4487088575562737e-20,-2.9204788189999995
2.5343878309583704e-20,-2.9199905377499995
2.616813160793624e-20,-2.9195022564999995
2.695877801069122e-20,-2.9190139752499995
2.771478996539639e-20,-2.9185256939999995
2.843518417270208e-20,-2.9180374127499995
2.9119022875767007e-20,-2.9175491314999995
2.9765415091749124e-20,-2.9170608502499995
3.037351778374709e-20,-2.9165725689999995
3.0942536971638687e-20,-2.9160842877499995
3.147172878034076e-20,-2.9155960064999995
3.19604004240873e-20,-2.9151077252499995
3.240791112541779e-20,-2.9146194439999995
3.2813672967631287e-20,-2.9141311627499995
3.317715167956844e-20,-2.9136428814999995
3.349786735165076e-20,-2.9131546002499995
3.3775395082208455e-20,-2.9126663189999995
3.4009365553205464e-20,-2.9121780377499995
3.4199465534573717e-20,-2.9116897564999995
3.43454383164457e-20,-2.9112014752499995
3.444708406868063e-20,-2.9107131939999995
3.4504260127161365e-20,-2.9102249127499995
3.451688120644206e-20,-2.9097366314999995
3.4484919538415836e-20,-2.9092483502499995
3.4408404936769224e-20,-2.9087600689999995
3.428742478708567e-20,-2.9082717877499995
3.412212396255626e-20,-2.9077835064999995
3.39127046653511e-20,-2.9072952252499995
3.3659426193802545e-20,-2.9068069439999995
3.3362604635645425e-20,-2.9063186627499995
3.3022612487658155e-20,-2.9058303814999995
3.2639878202138156e-20,-2.9053421002499995
3.2214885660751514e-20,-2.9048538189999995
3.174817357637291e-20,-2.9043655377499995
3.1240334823649143e-20,-2.9038772564999995
3.0692015699086173e-20,-2.9033889752499995
3.0103915111576794e-20,-2.9029006939999995
2.947678370435724e-20,-2.9024124127499995
2.8811422909478497e-20,-2.9019241314999995
2.810868393597311e-20,-2.9014358502499995
2.736946669296719e-20,-2.9009475689999995
2.6594718649094822e-20,-2.9004592877499995
2.57854336296328e-20,-2.8999710064999995
2.4942650552880263e-20,-2.8994827252499995
2.4067452107358295e-20,-2.8989944439999995
2.3160963371518678e-20,-2.8985061627499995
2.2224350377682585e-20,-2.8980178814999995
2.1258818622055913e-20,-2.8975296002499995
2.0265611522684624e-20,-2.8970413189999995
1.9246008827331325e-20,-2.8965530377499995
